국가,Latitude,Longitude,확진자수
Seychelles,-4.679574,55.491977,"18,714"
Papua New Guinea,-8.5190434,149.1041758,"17,780"
Togo,8.619543,0.824782,"17,104"
Somalia,5.152149,46.199616,"16,039"
Bahamas,25.03428,-77.39628,"15,915"
Taiwan,23.69781,120.960515,"15,814"
Tajikistan,38.861034,71.276093,"15,792"
Andorra,42.506285,1.521801,"14,873"
Mali,17.570692,-3.996166,"14,652"
Belize,17.189877,-88.49765,"14,578"
Curaçao,12.16957,-68.99002,"14,210"
Lesotho,-29.609988,28.233608,"13,845"
Burkina Faso,12.238333,-1.561593,"13,632"
Congo,-4.038333,21.758664,"13,293"
Aruba,12.52111,-69.968338,"12,636"
Hong Kong,22.3193039,114.1693611,"12,020"
Timor-Leste,-8.874217,125.727539,"11,717"
Djibouti,36.0676041,-79.7568107,"11,663"
CAR,37.0364115,-95.6276249,"11,195"
South Sudan,6.8769919,31.3069788,"11,139"
Nicaragua,12.865416,-85.207229,"10,251"
Channel Islands,33.4506004,-119.3791204,"9,729"
Laos,19.85627,102.495496,"9,161"
Benin,9.30769,2.315834,"9,065"
Iceland,64.963051,-19.020835,"8,956"
Equatorial Guinea,1.650801,10.267895,"8,951"
Burundi,-3.373056,29.918886,"8,800"
Gambia,13.443182,-15.310139,"8,603"
Yemen,15.552727,48.516388,"7,198"
Eritrea,15.179384,39.782334,"6,589"
Sierra Leone,8.460555,-11.779889,"6,315"
Saint Lucia,13.909444,-60.978893,"5,949"
Niger,17.607789,8.081666,"5,697"
Isle of Man,54.236107,-4.548056,"5,658"
Liberia,6.428055,-9.429499,"5,459"
Mauritius,-20.348404,57.552152,"5,219"
San Marino,43.94236,12.457777,"5,194"
Gibraltar,36.140751,-5.353585,"5,154"
Chad,15.454166,18.732207,"4,981"
Guinea-Bissau,11.803749,-15.180413,"4,864"
Barbados,13.193887,-59.543198,"4,485"
Comoros,-11.6455,43.3333,"4,031"
Liechtenstein,47.166,9.555373,"3,107"
Sint Maarten,18.04248,-63.05483,"3,045"
Monaco,43.7384176,7.4246158,"3,021"
New Zealand,-40.900557,174.885971,"2,904"
Saint Martin,18.0708298,-63.0500809,"2,713"
Bermuda,32.3078,-64.7505,"2,645"
Bhutan,27.514162,90.433601,"2,550"
British Virgin Islands,18.420695,-64.639968,"2,532"
Turks and Caicos,21.694025,-71.797928,"2,531"
Sao Tome and Principe,0.18636,6.613081,"2,476"
St. Vincent Grenadines,12.984305,-61.287228,"2,306"
Caribbean Netherlands,12.1783611,-68.2385339,"1,729"
Tanzania,-6.369028,34.888822,"1,367"
Antigua and Barbuda,17.060816,-61.796428,"1,348"
St. Barth,17.9,-62.833333,"1,336"
Faeroe Islands,61.892635,-6.9118061,987
Diamond Princess,40.8642959,-73.9614914,712
Cayman Islands,19.3133,-81.2546,648
Saint Kitts and Nevis,17.357822,-62.782998,625
Wallis and Futuna,-14.2938,-178.1165,445
Brunei,4.535277,114.727669,440
Dominica,15.414999,-61.370976,412
Greenland,71.706936,-42.604303,187
Grenada,12.1165,-61.679,180
New Caledonia,-20.904305,165.618042,134
Anguilla,18.220554,-63.068615,113
Falkland Islands,-51.796253,-59.523613,66
Macao,22.198745,113.543873,63
Saint Pierre Miquelon,46.8852,-56.3159,30
Vatican City,41.902916,12.453389,27
Montserrat,16.742498,-62.187366,22
Solomon Islands,-9.64571,160.156194,20
Western Sahara,24.215527,-12.885834,10
MS Zaandam,26.0850697,-80.116658,9
Vanuatu,-15.376706,166.959158,4
Marshall Islands,7.131474,171.184478,4
Samoa,-13.759029,-172.104629,3
Saint Helena,-15.9650104,-5.7089241,2
Micronesia,7.425554,150.550812,1
